,Sale_ID,Emp_ID,Item_Name,Quantity,Per,Unit_Price,Total_Amount,Sales_Date,No,C_Name,S_Name,Teller
1,Sale-000008,2,ADONKO BITTERS,1,1/2Ctn,40,40,07/03/17,1,WHISKY,ADONKO BITTERS LTD,Teller A
2,Sale-000008,2,JOY DADI BITTERS,4,Sgl,7,28,07/03/17,2,LOCAL BEVERAGES,JOY INDUSTRIES,Teller A
3,Sale-000008,2,ABE NSUO,1,Sgl,6.5,6.5,07/03/17,3,LOCAL BEVERAGES,AHENEBA KASEMPA,Teller A
4,Sale-000008,2,LIME CORDIAL,1,Sgl,6.5,6.5,07/03/17,4,LOCAL BEVERAGES,FEEHI LTD,Teller A
5,Sale-000008,2,ORIJIN BITTERS 70CL,1,Sgl,4,4,07/03/17,5,LOCAL BEVERAGES,GUINNESS GHANA,Teller A
6,Sale-000008,2,CARNIVAL,1,Sgl,10,10,07/03/17,6,LOCAL BEVERAGES,FEEHI LTD,Teller A
7,Sale-000008,2,JOY GINGER,2,Sgl,7,14,07/03/17,7,LOCAL BEVERAGES,JOY INDUSTRIES,Teller A
8,Sale-000008,2,RUSH ENERGY,1,Ctn,16,16,07/03/17,8,BRANDY,LYMONDS LTD,Teller A
9,Sale-000008,2,BIE GYA,1,Sgl,7,7,07/03/17,9,LOCAL BEVERAGES,AHOMKA BEVERAGES,Teller A
10,Sale-000008,2,NANA TAKYI 70CL,2,Sgl,2.5,5,07/03/17,10,SOYA MILK,CAVE & GARDENS,Teller A
11,Sale-000009,2,STAR/L,1,Ctn,40,40,07/03/17,1,WHISKY,CAVE & GARDENS,Teller A
12,Sale-000009,2,GULDER LAGER,1,Ctn,40,40,07/03/17,2,BEER,DOUBLE C,Teller A
13,Sale-000009,2,JOY DADI PAK,1,Sgl,9,9,07/03/17,4,LOCAL BEVERAGES,JOY INDUSTRIES,Teller A
14,Sale-000009,2,ABE NSUO,3,Ctn,60,180,07/03/17,5,LOCAL BEVERAGES,AHENEBA KASEMPA,Teller A
15,Sale-000010,2,LIME CORDIAL,1,Sgl,6.5,6.5,07/03/17,1,LOCAL BEVERAGES,FEEHI LTD,Teller A
16,Sale-000010,2,ABE NSUO,2,Sgl,6.5,13,07/03/17,2,LOCAL BEVERAGES,AHENEBA KASEMPA,Teller A
17,Sale-000012,2,DON GARCIA,1,1/2Ctn,37,37,07/03/17,1,PAPER WINES,LYMONDS LTD,Teller A
18,Sale-000012,2,RUSH ENERGY,1,Ctn,16,16,07/03/17,2,BRANDY,LYMONDS LTD,Teller A
19,Sale-000014,2,CASTLE 700ML,1,Sgl,10,10,07/03/17,1,LOCAL BEVERAGES,GIHOC DISTILLERIES,Teller A
20,Sale-000014,2,K20 WHISKY,1,1/2Ctn,39,39,07/03/17,2,LOCAL BEVERAGES,FEEHI LTD,Teller A
21,Sale-000014,2,ABE NSUO,1,Ctn,60,60,07/03/17,3,LOCAL BEVERAGES,AHENEBA KASEMPA,Teller A
22,Sale-000014,2,ADONKO BITTERS,1,Ctn,80,80,07/03/17,4,WHISKY,ADONKO BITTERS LTD,Teller A
23,Sale-000014,2,KASAPREKO GIN,2,Sgl,7.5,15,07/03/17,5,LOCAL BEVERAGES,FEEHI LTD,Teller A
24,Sale-000017,2,GUINNESS STOUT ,1,1/2Ctn,30,30,07/03/17,1,BOTTLED STOUT,DOUBLE C,Teller A
25,Sale-000017,2,MALTA GUINNESS,1,1/2Ctn,21.5,21.5,07/03/17,2,BOTTLED MALT,DOUBLE C,Teller A
26,Sale-000017,2,STAR/L,1,1/2Ctn,20,20,07/03/17,3,WHISKY,CAVE & GARDENS,Teller A
27,Sale-000017,2,CASTLE BRIDGE GTOT,1,Sgl,15,15,07/03/17,4,LOCAL BEVERAGES,GIHOC DISTILLERIES,Teller A
28,Sale-000017,2,CLUB BEER,3,1/2Ctn,20,60,07/03/17,5,BOTTLED BEER,REMS WORLD,Teller A
29,Sale-000019,2,ADONKO BITTERS,2,Sgl,7,14,07/03/17,1,WHISKY,ADONKO BITTERS LTD,Teller A
30,Sale-000019,2,KASAPREKO GIN,1,Sgl,7.5,7.5,07/03/17,2,LOCAL BEVERAGES,FEEHI LTD,Teller A
31,Sale-000019,2,ABE NSUO,1,Sgl,6.5,6.5,07/03/17,3,LOCAL BEVERAGES,AHENEBA KASEMPA,Teller A
32,Sale-000020,2,CLUB BEER,1,1/2Ctn,20,20,07/03/17,1,BOTTLED BEER,REMS WORLD,Teller A
33,Sale-000020,2,MALTA GUINNESS,1,1/2Ctn,21.5,21.5,07/03/17,2,BOTTLED MALT,DOUBLE C,Teller A
34,Sale-000020,2,ALOMO BITTERS,1,Sgl,8.5,8.5,07/03/17,3,LOCAL BEVERAGES,FEEHI LTD,Teller A
35,Sale-000020,2,JOY DADI BITTERS,1,Sgl,7,7,07/03/17,4,LOCAL BEVERAGES,JOY INDUSTRIES,Teller A
36,Sale-000020,2,JOY GINGER,1,Sgl,7,7,07/03/17,5,LOCAL BEVERAGES,JOY INDUSTRIES,Teller A
37,Sale-000020,2,ADONKO BITTERS,1,Sgl,7,7,07/03/17,6,WHISKY,ADONKO BITTERS LTD,Teller A
38,Sale-000021,2,ABE NSUO,1,Ctn,60,60,07/03/17,1,LOCAL BEVERAGES,AHENEBA KASEMPA,Teller A
39,Sale-000021,2,BOAFO BITTERS,1,Sgl,7,7,07/03/17,2,LOCAL BEVERAGES,NONE,Teller A
40,Sale-000023,2,ABE NSUO,1,Ctn,60,60,07/03/17,1,LOCAL BEVERAGES,AHENEBA KASEMPA,Teller A
41,Sale-000023,2,GOAL GIN,1,1/2Ctn,30,30,07/03/17,2,LOCAL BEVERAGES,PRIME CARE LTD,Teller A
42,Sale-000023,2,TONIC WINE,1,1/2Ctn,35,35,07/03/17,3,LOCAL BEVERAGES,AGYA.A LTD,Teller A
43,Sale-000023,2,CASTLE BRIDGE GTOT,1,1/2Ctn,68,68,07/03/17,4,LOCAL BEVERAGES,GIHOC DISTILLERIES,Teller A
